Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyz Republic,Lebanon,Liberia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe
Country Code,AFG,ALB,DZA,AGO,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,COD,CRI,CIV,HRV,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GUY,HND,HKG,HUN,IND,IDN,IRN,ITA,JAM,JPN,JOR,KAZ,KEN,XKX,KGZ,LBN,LBR,MDG,MWI,MYS,MLI,MRT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,PAK,PAN,PER,PHL,POL,PRT,KOR,ROU,RUS,RWA,SEN,SRB,SLE,SGP,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SUR,SWE,TZA,THA,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,South Asia,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU & EFTA & North America,Latin America & Caribbean,South Asia,Latin America & Caribbean,Eastern Europe & Central Asia,EU & EFTA & North America,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Eastern Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,EU & EFTA & North America,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,EU & EFTA & North America,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Sub-Saharan Africa,EU & EFTA & North America,EU & EFTA & North America,EU & EFTA & North America,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,EU & EFTA & North America,Sub-Saharan Africa,EU & EFTA & North America,EU & EFTA & North America,Sub-Saharan Africa,Eastern Europe & Central Asia,EU & EFTA & North America,Sub-Saharan Africa,EU & EFTA & North America,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU & EFTA & North America,South Asia,East Asia & Pacific,Middle East & North Africa,EU & EFTA & North America,Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Eastern Europe & Central Asia,East Asia & Pacific,Middle East & North Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,South Asia,EU & EFTA & North America,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,EU & EFTA & North America,South Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU & EFTA & North America,EU & EFTA & North America,East Asia & Pacific,EU & EFTA & North America,Eastern Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,EU & EFTA & North America,Sub-Saharan Africa,EU & EFTA & North America,South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,EU & EFTA & North America,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,Latin America & Caribbean,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,EU & EFTA & North America,EU & EFTA & North America,Latin America & Caribbean,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa
Income Group,Low,Upper Middle,Upper Middle,Lower Middle,High,Upper Middle,High,High,High,Lower Middle,High,Upper Middle,High,Upper Middle,Low,Lower Middle,Upper Middle,Upper Middle,Upper Middle,Upper Middle,Low,Lower Middle,Lower Middle,High,High,Upper Middle,Upper Middle,Low,Upper Middle,Lower Middle,High,High,High,Upper Middle,Upper Middle,Upper Middle,Lower Middle,Lower Middle,High,Low,High,High,Low,Upper Middle,High,Lower Middle,High,Upper Middle,Upper Middle,Low,Upper Middle,Lower Middle,High,High,Lower Middle,Lower Middle,Upper Middle,High,Upper Middle,High,Upper Middle,Upper Middle,Lower Middle,Upper Middle,Lower Middle,Upper Middle,Low,Low,Low,Upper Middle,Low,Lower Middle,Upper Middle,Upper Middle,Lower Middle,Lower Middle,Lower Middle,Low,Lower Middle,Upper Middle,Low,High,High,Lower Middle,Low,Lower Middle,Upper Middle,High,Lower Middle,High,Upper Middle,Lower Middle,High,High,High,Upper Middle,Upper Middle,Low,Lower Middle,Upper Middle,Low,High,High,Upper Middle,High,Upper Middle,High,Upper Middle,Upper Middle,Upper Middle,High,Low,Upper Middle,Low,High,Lower Middle,Upper Middle,Low,Lower Middle,High,High,High,High,Lower Middle,Upper Middle,Lower Middle,Lower Middle,Lower Middle
WJP Rule of Law Index: Overall Score,0.362735747735494,0.500228768298483,0.494404235648722,0.425419246862042,0.630874006009207,0.579584308361676,0.802856634479044,0.817179478138428,0.605148229682833,0.408318444600616,0.646271362669722,0.514191423428048,0.787410616246320,0.478164819774114,0.496934385411625,0.383338808744774,0.520230742554148,0.600428732483929,0.515090149899899,0.546990617498422,0.508553265760871,0.325551713499772,0.359382103614510,0.807386505022630,0.669635967802628,0.478726852470991,0.500308066090422,0.342123295177410,0.682414588835502,0.462670280729431,0.614288322749823,0.731343954601060,0.899466051644518,0.582868582648485,0.477992916385736,0.485120859433542,0.358105253435058,0.493592111072678,0.807128257463432,0.411285211837958,0.874277981882805,0.727223011856491,0.503401846136996,0.602151402259932,0.836310848914011,0.565901825011021,0.610185120437847,0.591365192300320,0.448797286913125,0.419094338422055,0.503405821757257,0.402229673285771,0.763444307679323,0.527882495438040,0.508779631190612,0.528119666469465,0.427048027611611,0.657717468783008,0.569040943974720,0.779578378354756,0.567432732770176,0.523084598426496,0.448352872146541,0.543092219089348,0.484224332158947,0.454683407339208,0.453128200566088,0.440174310818095,0.518490202102607,0.582618193010089,0.439034950281932,0.361671958359664,0.614572319979167,0.441130319976840,0.495848339801590,0.533482456146940,0.500006444425096,0.413197068357139,0.418512960827574,0.625589715076271,0.525657452208004,0.837482715352940,0.825033931454770,0.393635662334713,0.447847908722394,0.428362866866751,0.532798831729253,0.894406826757990,0.388254985321783,0.521735147566821,0.499051743651082,0.474664557334528,0.656923970178831,0.704353281212927,0.732390285962957,0.632565209653726,0.465294702844924,0.617157126424897,0.551190358287019,0.502844152219402,0.450253246363209,0.788884326632068,0.685108704485655,0.586271094792999,0.728367349043951,0.518327934158551,0.632273842116474,0.619125680020184,0.637084154365165,0.500777774471409,0.861740494249800,0.470065651964661,0.507199908478727,0.450279991601699,0.536790311725474,0.536544364980977,0.429256830032865,0.397193368604103,0.506458220028429,0.645584532346662,0.788792611611852,0.715772310268844,0.709943115296694,0.471707322557939,0.269100950606361,0.491657901647159,0.454068797988034,0.393118741835286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.436811586814337,0.452599195787535,0.481523956163723,0.419577243865367,0.618210536620708,0.614948845710909,0.823655435759160,0.845937667783457,0.605447311911313,0.397222701675929,0.627676081766187,0.355516242014620,0.825745403358062,0.437739771851014,0.529115194186265,0.362329467978172,0.449990969205937,0.615148765645420,0.532423836887814,0.461866414616477,0.560571989528478,0.291356767686935,0.369806004853150,0.836021644139836,0.720633329061476,0.321873145591204,0.533332029926912,0.390333188480372,0.764720242229240,0.409892225404308,0.575627717897108,0.729510033676000,0.943533319943606,0.531134975836187,0.467179498212392,0.480027372965275,0.265335962732394,0.496454445832194,0.833604061468385,0.386396252891419,0.917817198236770,0.725724114026649,0.603898131482679,0.545998268344000,0.852331394130871,0.675739024626979,0.680510746979564,0.577159706553188,0.522143469372737,0.393462031879882,0.558088372177275,0.341773294279645,0.647494218643393,0.396260044675857,0.609776393596577,0.681881546875840,0.369197693732743,0.710373646004201,0.638207494441095,0.707471847653278,0.486905085351500,0.421905495432437,0.489817826496997,0.521798241303906,0.480665987695280,0.499154767290711,0.521977518488166,0.455992024243607,0.560509256621094,0.582323591412323,0.468893445952616,0.330029392927398,0.597529512347637,0.463888370955778,0.457832399419612,0.531174785017424,0.509281501432621,0.430306396757359,0.447339134225618,0.691869945298622,0.599135520808155,0.859493912828371,0.849077454132925,0.263098507425789,0.397414894046335,0.525298159918819,0.467657358041125,0.937321725416515,0.487065619539696,0.537241124724753,0.596639669742338,0.503137199812769,0.580134853389909,0.783361758683697,0.719495021660389,0.616535592912055,0.364765941774065,0.602126159620173,0.563470435299557,0.389111970608315,0.510120412873137,0.670072645059582,0.651511539476686,0.630253723556715,0.737834243045428,0.554319674253269,0.617637070239718,0.592695330256666,0.617269022186167,0.482768129640151,0.871401336955575,0.510519770320163,0.482514915725750,0.355772528211016,0.561353490013560,0.609266146513946,0.299722984312175,0.399850339607261,0.463708252414771,0.556856947599752,0.823501852283016,0.713318338131226,0.756569591088455,0.332924263282361,0.173439909875656,0.452708664065899,0.455034174410655,0.325481499564806
1.1 Government powers are effectively limited by the legislature,0.585792213809837,0.475108524582274,0.506873681276857,0.523221300991665,0.605965277920061,0.647149471101144,0.855345382712585,0.839553201510370,0.569300085437515,0.543985620584176,0.698073145499857,0.271392642261313,0.825479239944007,0.497714290431622,0.535888778471569,0.358262792285939,0.532250851029177,0.627566838572062,0.680090121600070,0.525673392357954,0.642924287241000,0.394281649659148,0.390473747300836,0.802252042665391,0.701272255310352,0.363936660536857,0.613435568499371,0.505983873136918,0.765622935365414,0.415351332299483,0.582748424881524,0.698470562598985,0.912058758959712,0.436774481119976,0.538056283908867,0.539071892812002,0.082056819071456,0.580191911248435,0.840577978543920,0.507728266680942,0.880223637222037,0.716045434782420,0.710648427257165,0.578950822479948,0.830419293257888,0.780141778125944,0.642062147726206,0.573546581739556,0.608206706699492,0.458875456073801,0.619680064970267,0.436782954872672,0.684042371203766,0.346163255280924,0.716235246626406,0.803399658464122,0.399853117854127,0.723543407304162,0.666241443225795,0.607883575595699,0.499992725721867,0.454899986475967,0.627606118151206,0.607470996685507,0.566445116037208,0.710187183966573,0.536107759653246,0.473231476849478,0.562315331571341,0.584534843867055,0.591545477025789,0.339929763078994,0.630761111629214,0.519534375424422,0.599317616570377,0.669595329447385,0.580347584474055,0.518202086531149,0.423067030213607,0.746630713600588,0.752293394475876,0.840367651672113,0.846613349292674,0.329462214520618,0.505713878340173,0.679223309132917,0.580496426088955,0.956895850488482,0.557720846315359,0.554993101606231,0.711875539043413,0.551136285669483,0.472154359524354,0.837770680777807,0.683521931704387,0.677643370624324,0.363770905332553,0.516119520769099,0.531989096160510,0.399182489096822,0.581582125229578,0.478852121376910,0.691533595452161,0.580932120552480,0.760069976703235,0.555689690100716,0.611355947666586,0.618606846680283,0.583677960623599,0.476886535523071,0.813842023144020,0.553671886826106,0.515268075346190,0.447384712440855,0.659141555237823,0.658809299217470,0.374487345326416,0.415167106052026,0.565636686707579,0.519854718055281,0.857009065479063,0.767105280724754,0.787428707827227,0.152410119001419,0.316227180331387,0.380685404920802,0.462496260952724,0.323492284161845
1.2 Government powers are effectively limited by the judiciary,0.350820163194741,0.304564998049211,0.428926512648084,0.404548862111085,0.711705472738069,0.459776748780403,0.838070055361895,0.840910723688119,0.616238311282169,0.484031997803599,0.714247890049810,0.282669145953926,0.783840918500322,0.505058519797780,0.446766177374164,0.276938421292925,0.382068213362748,0.624659981332285,0.633965974419848,0.394100577568408,0.529514510728215,0.252216268911302,0.304126349786696,0.847133105522384,0.581463466012977,0.298220442727622,0.500210004751657,0.371980869669740,0.685092123761883,0.364120720008353,0.471090007779021,0.717648012232242,0.951860663387101,0.582013778011730,0.408733934358121,0.421146612589049,0.353463434938932,0.479365759180089,0.817197866863687,0.363528663141828,0.899490046054508,0.672091712154800,0.632246838660121,0.441279732289241,0.823480193994532,0.670780997628178,0.642516002909104,0.660962575188134,0.510099184375488,0.299045434256381,0.612439782615890,0.327978087695967,0.720097152409114,0.414483214923039,0.647685778833247,0.682256073371103,0.369028475555914,0.696418047063370,0.690875618059158,0.699115740450454,0.479872349702046,0.419964565696146,0.509840782304931,0.415302070868089,0.301690779219260,0.461247847199918,0.516924541769414,0.402403344108359,0.636726451117802,0.617587879480742,0.425176967274453,0.217146053271682,0.667090977738891,0.437860517285631,0.370462160148729,0.500179881703579,0.529626812792819,0.419544276945835,0.439209107834187,0.777591098686172,0.615690037054087,0.852888239762109,0.868851353632641,0.331237767633438,0.426049711262624,0.526167848272136,0.372149290837490,0.951962961049812,0.501121889207316,0.442640590401664,0.504244208253721,0.531033967205925,0.532621871171909,0.757169002109334,0.601303260388760,0.572977843747570,0.332799988314632,0.580880475762834,0.459969022879443,0.340639025932281,0.416731977066232,0.721019629103027,0.581394564225548,0.674649372775994,0.663903714364595,0.610261168542773,0.703097512288240,0.699398799390750,0.608231970430297,0.588792245793588,0.834856021017886,0.532380362145544,0.595108108259284,0.314193552433039,0.668790860244392,0.498792578912426,0.322847495290314,0.401390403878523,0.315301263370740,0.554781465263003,0.824276941338405,0.728099008055138,0.717971282949424,0.199973676545146,0.124371735663331,0.361380141560037,0.372478191831303,0.317914920361076
1.3 Government powers are effectively limited by independent auditing and review,0.447188520576104,0.545121134323738,0.600016545451824,0.365559569690961,0.591869519830915,0.704255308355094,0.768880048169249,0.780816669213135,0.517847736384516,0.367841136357085,0.428913386151713,0.496145243524279,0.896738081666355,0.255949767100563,0.418509275372956,0.326972570718381,0.471191176521604,0.515482172653121,0.436938184368338,0.397343451095455,0.513219072992437,0.225593141091761,0.408161287058848,0.799483280107672,0.847011535480581,0.394496901077189,0.486680728266739,0.316092850401002,0.798970654953004,0.443201202344839,0.555623078251052,0.745577324785230,0.910625084272271,0.646596983382605,0.313728456114307,0.476872749835042,0.322263048269326,0.392630723639852,0.861006615715701,0.401424726189361,0.921079784353842,0.734219440151507,0.357366720684706,0.585978073476925,0.853900172361455,0.615471719571224,0.705527509997945,0.490046228533228,0.400292357052446,0.330301051647755,0.463027415717465,0.282623746722828,0.592927263241885,0.316705331600412,0.571377895304600,0.592787017225107,0.409133553844575,0.735401521821157,0.619946898897487,0.690928583416257,0.559928318849020,0.504467496693592,0.465855987126140,0.603196409822178,0.427635165835960,0.444640719629648,0.464585882104551,0.450297301393598,0.525143970219632,0.600207839247658,0.367290733122014,0.349840212582972,0.436488012085081,0.443535728066160,0.455128177136155,0.444451529019467,0.454246275228718,0.435999844782761,0.376936995612045,0.519455303375216,0.487235868029860,0.879765005454334,0.817857414235728,0.158714167256177,0.290754538177637,0.471188115530811,0.479745116126675,0.888398885734635,0.450470557592144,0.458007039627551,0.542500826088854,0.472308587878328,0.544171971081327,0.749190263745093,0.841555171639054,0.543799920560848,0.368833663286214,0.634970443020039,0.548236872303753,0.392481669629746,0.508809269288196,0.698585781547170,0.632554187944866,0.629395367128881,0.747413667194833,0.445285919347946,0.589581505698653,0.400326358479188,0.666579893882138,0.301051504077286,0.965942505080789,0.484674556181737,0.426368540504819,0.295949287705889,0.327298757648534,0.616562016004225,0.190601485661737,0.460216674346846,0.398479002410504,0.688898579716560,0.802408471584614,0.660637621719342,0.693645953626751,0.371986418698757,0.057442900862031,0.523901231190019,0.479854659120552,0.457258868015832
1.4 Government officials are sanctioned for misconduct,0.316041263985317,0.389068025643730,0.502995116875396,0.344777523456932,0.456726289482333,0.386113121250156,0.767728079790120,0.825857377537581,0.444503557136270,0.365229428796579,0.418862243685678,0.542601505990896,0.749877213594840,0.244427126417400,0.494930019791354,0.308597617038320,0.362448206088619,0.564283619572752,0.296001030786787,0.321446271469617,0.433078444443281,0.265021629014098,0.385969397270540,0.772081591671693,0.584523536153532,0.490755969547022,0.422655074492409,0.346150410692306,0.596751445594053,0.378511685435879,0.491749509362483,0.611285700298128,0.935087794134482,0.419773602669415,0.343125250845903,0.395121902635165,0.389248857392801,0.385727444357469,0.781356842893965,0.420110494309335,0.930070916284411,0.637998238571537,0.496018851688681,0.419091575319396,0.803597263554661,0.520573347045020,0.538831923692180,0.429783496026128,0.363257455992814,0.286007586197815,0.408618699642224,0.254025835854974,0.746650595996592,0.306625203560455,0.406829793939033,0.612429999772911,0.386433979487711,0.625166501881965,0.439660984782553,0.726743996972511,0.530524484377219,0.449311292024006,0.350446163785577,0.376982215588128,0.470583751991334,0.321343888711263,0.358054575768107,0.410955087544803,0.454997798199933,0.577312585868912,0.283478098400443,0.287288207331523,0.518810146211025,0.272651759226245,0.311947878689243,0.406482917324659,0.462752567995867,0.411464415505987,0.446026970394170,0.621297234535223,0.452485629155925,0.840600399905920,0.805927584233112,0.166975836714859,0.292958843243716,0.463869119764170,0.340133102485015,0.900766341563360,0.359061823002035,0.311839454928215,0.401055606588562,0.407697385548958,0.561829957864455,0.639767097411522,0.679741312492687,0.533591265962890,0.334833005170097,0.730887827744313,0.501232889530007,0.262765548363822,0.418946589282646,0.897096033098968,0.503923086544696,0.473296014273135,0.664486523893912,0.404134934634494,0.468253388536294,0.466443999912356,0.560795965803750,0.369495565295985,0.837280517832666,0.547658672301930,0.468313251362114,0.317156164973209,0.356892244202033,0.475619125923505,0.296433866513678,0.378340278581385,0.282777763282068,0.705810315360609,0.762064410671268,0.629530840904964,0.665168168072454,0.449662211899013,0.116608863315605,0.603968792303186,0.545234431541303,0.347714810217375
